index,erabuilt,numstories,roofshape,fpAreas,occupancy2,fparea,repaircost,constype,occupancy,Lat,Lon
3014,1960,1,Gable,3429,Residential,2460.0,380171.607,RM1,RES1,37.89761155882353,-122.48971547058821
3015,1960,1,Flat,3189,Other,2265.0,362458.468,W1,RES1,37.897435075,-122.48986806250001
3016,1960,1,Gable,1785,Residential,1012.0,226924.659,W1,RES1,37.897449241176474,-122.49011444117647
3017,1960,1,Hip,1649,Other,1012.0,226924.659,W1,RES1,37.89761974444444,-122.49028772222222
3018,1960,1,Gable,2788,Residential,1828.0,317177.993,RM1,RES1,37.89781226666666,-122.49026664
3019,NA,NA,Gable,1302,Residential,,,,,37.89782482,-122.49049770000002
3020,1960,1,Gable,2851,Residential,2185.0,354864.115,W1,RES1,37.89792380769231,-122.4900518
3021,1960,1,Gable,3637,Other,2856.0,415101.257,W1,RES1,37.89804141333333,-122.48986233333335
3022,1960,1,Gable,2976,Residential,2530.0,386672.58,RM1,RES1,37.8981914076923,-122.48967320000003
3023,1960,1,Gable,2725,Residential,2141.0,350524.673,RM1,RES1,37.89834291176471,-122.4894478764706
3024,1960,1,Hip,1766,Residential,1408.0,269380.497,RM1,RES1,37.89855143333333,-122.48950565555558
3025,1960,1,Gable,2006,Residential,1795.0,313377.317,W1,RES1,37.89875175555556,-122.4896304222222
3026,1960,1,Gable,1904,Residential,1012.0,226924.659,RM1,RES1,37.89858397272727,-122.48985629090909
3027,1960,1,Hip,2317,Residential,1468.0,361428.049,RM1,RES1,37.89845984666667,-122.49001688666665
3028,1960,1,Hip,2487,Other,1444.0,273452.197,RM1,RES1,37.898311299999996,-122.49024374444444
3029,1960,1,Gable,3359,Residential,2513.0,385115.735,W1,RES1,37.89817721333334,-122.49039511333334
3030,1960,1,Hip,2420,Residential,1672.0,298587.536,W1,RES1,37.89804778888889,-122.49056808888888
3031,1960,1,Gable,1616,Residential,1012.0,226924.659,RM1,RES1,37.89809717777777,-122.49084051111112
3032,1960,1,Gable,1970,Residential,1672.0,298587.536,W1,RES1,37.89829796363636,-122.49094414545453
3033,1960,1,Hip,1704,Residential,1012.0,226924.659,W1,RES1,37.89844645555555,-122.49082149999998
3034,1960,1,Gable,2597,Residential,1820.0,316263.118,RM1,RES1,37.89857402727274,-122.49063002727272
3035,1960,1,Gable,1609,Residential,1012.0,226924.659,RM1,RES1,37.89868011111111,-122.49044695555557
3036,1960,2,Hip,1905,Residential,1824.0,325889.941,W1,RES1,37.89885507692308,-122.49027335384616
3037,1960,1,Gable,2271,Residential,1904.0,325661.829,RM1,RES1,37.898933161538466,-122.49008156153846
3038,1960,1,Gable,1633,Residential,1012.0,226924.659,W1,RES1,37.89906004444444,-122.48987896666667
3039,1960,1,Hip,2627,Residential,2208.0,357086.549,RM1,RES1,37.89922933076923,-122.48971953076924
3040,1960,2,Flat,2106,Residential,2225.0,363529.911,W1,RES1,37.89944276153846,-122.48977883076921
3041,1960,1,Hip,2182,Residential,1392.0,267767.071,RM1,RES1,37.89961518181818,-122.48989384545456
3042,1960,1,Hip,1701,Residential,1012.0,226924.659,W1,RES1,37.8997807,-122.49000896363637
3043,1960,1,Hip,1969,Residential,1454.0,274558.308,RM1,RES1,37.89995503333333,-122.49006848888888
3044,1960,1,Hip,2496,Other,1589.0,288430.462,RM1,RES1,37.90015464210526,-122.48963553684213
3045,1960,1,Gable,2695,Other,2370.0,371847.34,W1,RES1,37.90000724736841,-122.48953446842104
3046,1960,1,Gable,2806,Residential,1012.0,226924.659,W1,RES1,37.89981344666668,-122.48944260666664
3047,1960,1,Hip,2371,Residential,1999.0,335738.648,RM1,RES1,37.899626392307695,-122.48934479999997
3048,1960,1,Hip,2209,Residential,1944.0,329976.202,RM1,RES1,37.899427499999994,-122.48928772727272
3049,1960,1,Gable,2953,Residential,1791.0,415747.601,W1,RES1,37.899250447619046,-122.48919780476191
3050,1960,1,Gable,1677,Residential,1012.0,226924.659,RM1,RES1,37.8990163,-122.48915834444445
3051,1960,1,Hip,2503,Residential,1354.0,264359.21,W1,RES1,37.898840153333346,-122.48906754
3052,1960,1,Gable,1950,Other,1162.0,244509.216,W1,RES1,37.89863838181819,-122.48905265454545
3053,1960,1,Gable,2976,Residential,2716.0,402785.924,W1,RES1,37.89845478666667,-122.48900611333333
3054,1960,1,Hip,2702,Residential,1893.0,324457.143,RM1,RES1,37.898251776923075,-122.48892567692307
3055,1960,1,Gable,2575,Residential,1532.0,282814.161,W1,RES1,37.898064030769234,-122.48891291538462
3056,1964,1,Gable,2560,Residential,2187.0,381275.018,RM1,RES1,37.89670746923077,-122.48692052307692
3057,1964,1,Gable,1490,Residential,830.0,203216.668,W1,RES1,37.89701396363636,-122.48699515454545
3058,1964,2,Flat,2180,Residential,2830.0,439881.265,RM1,RES1,37.89678135199999,-122.48738647200001
3059,1964,1,Hip,2086,Residential,1583.0,310296.084,W1,RES1,37.8972321,-122.48727654285713
3060,1964,2,Hip,3081,Residential,3209.0,475967.921,RM1,RES1,37.89753197142857,-122.48691628571429
